שם עסק,מזהה חנות,קישור ייחודי
"FLY-AI","shop-1","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=fly-ai&utm_medium=referral&utm_campaign=giftfair"
"ברוכי הירשמן - אנגלית מדוברת","shop-2","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=ברוכי-הירשמן-אנגלית-מדוברת&utm_medium=referral&utm_campaign=giftfair"
"מניפה לתנופה","shop-3","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=מניפה-לתנופה&utm_medium=referral&utm_campaign=giftfair"
"עטיפוני","shop-4","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=עטיפוני&utm_medium=referral&utm_campaign=giftfair"
"סמארט גו","shop-5","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=סמארט-גו&utm_medium=referral&utm_campaign=giftfair"
"איטי ולס - ליווי עסקי לבעלות קורסים","shop-6","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=איטי-ולס-ליווי-עסקי-לבעלות-קורסים&utm_medium=referral&utm_campaign=giftfair"
"פאות MILKY","shop-7","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=פאות-milky&utm_medium=referral&utm_campaign=giftfair"
"מירי מנדלסון - צילום ראש","shop-8","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=מירי-מנדלסון-צילום-ראש&utm_medium=referral&utm_campaign=giftfair"
"רפואת שיניים טבעית","shop-9","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=רפואת-שיניים-טבעית&utm_medium=referral&utm_campaign=giftfair"
"חשבונאות ומיסים","shop-10","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=חשבונאות-ומיסים&utm_medium=referral&utm_campaign=giftfair"
"מלכה זיכרמן - יועצת המערכות","shop-11","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=מלכה-זיכרמן-יועצת-המערכות&utm_medium=referral&utm_campaign=giftfair"
"ברטלר דיזיין - עיצוב גרפי ודיגיטל","shop-12","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=ברטלר-דיזיין-עיצוב-גרפי-ודיגיטל&utm_medium=referral&utm_campaign=giftfair"
"יהודית רובינשטיין - גרפולוגית","shop-13","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=יהודית-רובינשטיין-גרפולוגית&utm_medium=referral&utm_campaign=giftfair"
"אוירון","shop-14","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=אוירון&utm_medium=referral&utm_campaign=giftfair"
"מרים נוביק - הוראה באנרגיה אחרת","shop-15","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=מרים-נוביק-הוראה-באנרגיה-אחרת&utm_medium=referral&utm_campaign=giftfair"
"הורות במרכז - שרה לנגזם","shop-16","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=הורות-במרכז-שרה-לנגזם&utm_medium=referral&utm_campaign=giftfair"
"מקדמיה - בית ספר","shop-17","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=מקדמיה-בית-ספר&utm_medium=referral&utm_campaign=giftfair"
"גולדיס משכנתאות - לחיות בחופש כלכלי","shop-18","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=גולדיס-משכנתאות-לחיות-בחופש-כלכלי&utm_medium=referral&utm_campaign=giftfair"
"ידידוני לעסקים","shop-19","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=ידידוני-לעסקים&utm_medium=referral&utm_campaign=giftfair"
"חסידה School","shop-20","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=חסידה-school&utm_medium=referral&utm_campaign=giftfair"
"פוטנציאל","shop-21","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=פוטנציאל&utm_medium=referral&utm_campaign=giftfair"
"מגזין ג'נרטור","shop-22","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=מגזין-ג-נרטור&utm_medium=referral&utm_campaign=giftfair"
"אהבה שלוה הצלחה - מיכל ניאזוף","shop-23","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=אהבה-שלוה-הצלחה-מיכל-ניאזוף&utm_medium=referral&utm_campaign=giftfair"
"schoolframe","shop-24","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=schoolframe&utm_medium=referral&utm_campaign=giftfair"
"נחמה קסלר - שירותי ניהול משרד במיקור חוץ","shop-25","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=נחמה-קסלר-שירותי-ניהול-משרד-במיקור-חוץ&utm_medium=referral&utm_campaign=giftfair"
"sparking","shop-26","https://project-e399cadc-aa09-4dbb-960.web.app/?utm_source=sparking&utm_medium=referral&utm_campaign=giftfair"